No.,Out Carrier,In Carrier,Departure,Arrival,Out Start date,Out End date,Out Start time,Out End time,In Start date,In End date,In Start time,In End time,Out Agent,In Agent,Out Price,In Price,Total price 
1,AK (FSC),AK (FSC),BWN,DAD,2016-10-16,2016-10-16,09:30,19:40,2016-10-31,2016-11-02,12:25,09:05,エアアジア,エアアジア,8537.0,22236.0,30773.0
2,AK (FSC),AK (FSC),BWN,DAD,2016-10-16,2016-10-16,09:30,19:40,2016-10-31,2016-11-01,12:25,16:00,エアアジア,エアアジア,8537.0,33794.0,42331.0
